,Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
0,RCPÂ Average,7/9 - 7/24,--,--,50.0,40.9,Biden +9.1
1,CBS News/YouGovCBS News,7/21 - 7/24,1401 LV,--,51.0,41.0,Biden +10
2,Economist/YouGovYouGov,7/19 - 7/21,1222 RV,3.2,48.0,41.0,Biden +7
3,Rasmussen ReportsRasmussen,7/15 - 7/21,2500 LV,2.0,47.0,45.0,Biden +2
4,The Hill/HarrisXThe Hill,7/17 - 7/20,2829 RV,1.8,45.0,38.0,Biden +7
5,FOX NewsFOX News,7/12 - 7/15,1104 RV,3.0,49.0,41.0,Biden +8
6,ABC News/Wash PostABC/WP,7/12 - 7/15,673 LV,--,54.0,44.0,Biden +10
7,Economist/YouGovYouGov,7/12 - 7/14,1252 RV,3.3,49.0,40.0,Biden +9
8,CNBC/Change Research (D)*CNBC*,7/10 - 7/12,1258 LV,2.8,51.0,41.0,Biden +10
9,Rasmussen ReportsRasmussen,7/8 - 7/14,1500 LV,2.0,47.0,44.0,Biden +3
10,QuinnipiacQuinnipiac,7/9 - 7/13,1273 RV,2.8,52.0,37.0,Biden +15
11,NBC News/Wall St. JrnlNBC/WSJ,7/9 - 7/12,900 RV,3.3,51.0,40.0,Biden +11
12,Economist/YouGovYouGov,7/5 - 7/7,1165 RV,3.6,49.0,40.0,Biden +9
13,Rasmussen ReportsRasmussen,7/5 - 7/7,1500 LV,2.5,50.0,40.0,Biden +10
14,The Hill/HarrisXThe Hill,7/3 - 7/4,933 RV,3.2,43.0,39.0,Biden +4
15,Economist/YouGovYouGov,6/28 - 6/30,1198 RV,3.4,49.0,40.0,Biden +9
16,IBD/TIPPIBD/TIPP,6/27 - 6/30,1005 RV,3.1,48.0,40.0,Biden +8
17,MonmouthMonmouth,6/26 - 6/30,733 RV,3.6,53.0,41.0,Biden +12
18,CNBC/Change Research (D)CNBC,6/26 - 6/28,1663 LV,1.6,49.0,41.0,Biden +8
19,USA Today/SuffolkUSA Today,6/25 - 6/29,1000 RV,3.1,53.0,41.0,Biden +12
20,NPR/PBS/MaristNPR/PBS,6/22 - 6/24,1515 RV,3.5,52.0,44.0,Biden +8
21,The Hill/HarrisXThe Hill,6/22 - 6/23,951 RV,3.2,43.0,39.0,Biden +4
22,Economist/YouGovYouGov,6/21 - 6/23,1230 RV,3.3,49.0,41.0,Biden +8
23,CNBCCNBC,6/19 - 6/22,800 RV,3.5,47.0,38.0,Biden +9
24,NY Times/SienaNYT/Siena,6/17 - 6/22,1337 RV,3.0,50.0,36.0,Biden +14
25,Harvard-HarrisHarris,6/17 - 6/18,LV,--,56.0,44.0,Biden +12
26,Economist/YouGovYouGov,6/14 - 6/16,1160 RV,3.5,50.0,41.0,Biden +9
27,FOX NewsFOX News,6/13 - 6/16,1343 RV,2.5,50.0,38.0,Biden +12
28,QuinnipiacQuinnipiac,6/11 - 6/15,1332 RV,2.7,49.0,41.0,Biden +8
29,CNBC/Change Research (D)CNBC,6/10 - 6/12,1250 LV,2.8,51.0,41.0,Biden +10
30,Economist/YouGovYouGov,6/7 - 6/9,1241 RV,3.4,49.0,41.0,Biden +8
31,CNNCNN,6/2 - 6/5,1125 RV,3.6,55.0,41.0,Biden +14
32,NPR/PBS/MaristNPR/PBS,6/2 - 6/3,958 RV,4.0,50.0,43.0,Biden +7
33,EmersonEmerson,6/2 - 6/3,1431 RV,2.5,53.0,47.0,Biden +6
34,The Hill/HarrisXThe Hill,6/1 - 6/4,2827 RV,1.8,47.0,37.0,Biden +10
35,IBD/TIPPIBD/TIPP,5/31 - 6/3,964 RV,2.9,45.0,42.0,Biden +3
36,NBC News/Wall St. JrnlNBC/WSJ,5/28 - 6/2,1000 RV,3.1,49.0,42.0,Biden +7
37,Economist/YouGovYouGov,5/31 - 6/2,1244 RV,3.2,47.0,40.0,Biden +7
38,CNBCCNBC,5/29 - 5/31,1457 LV,2.6,48.0,41.0,Biden +7
39,MonmouthMonmouth,5/28 - 6/1,742 RV,3.6,52.0,41.0,Biden +11
40,CBS News/YouGovCBS News,5/29 - 6/1,1486 LV,2.6,47.0,43.0,Biden +4
41,ABC News/Wash PostABC/WP,5/25 - 5/28,835 RV,4.0,53.0,43.0,Biden +10
42,Economist/YouGovYouGov,5/23 - 5/26,1157 RV,3.4,45.0,42.0,Biden +3
43,FOX NewsFOX News,5/17 - 5/20,1207 RV,3.0,48.0,40.0,Biden +8
44,Rasmussen ReportsRasmussen,5/18 - 5/19,1000 LV,3.0,48.0,43.0,Biden +5
45,Economist/YouGovYouGov,5/17 - 5/19,1235 RV,3.2,47.0,42.0,Biden +5
46,CNBCCNBC,5/15 - 5/17,1424 LV,2.6,48.0,45.0,Biden +3
47,QuinnipiacQuinnipiac,5/14 - 5/18,1323 RV,2.7,50.0,39.0,Biden +11
48,The Hill/HarrisXThe Hill,5/13 - 5/14,950 RV,3.2,42.0,41.0,Biden +1
49,Harvard-HarrisHarris,5/13 - 5/14,1854 RV,2.0,53.0,47.0,Biden +6
50,Economist/YouGovYouGov,5/10 - 5/12,1175 RV,3.4,47.0,43.0,Biden +4
51,CNNCNN,5/7 - 5/10,1001 RV,3.7,51.0,46.0,Biden +5
52,Economist/YouGovYouGov,5/3 - 5/5,1209 RV,3.3,46.0,42.0,Biden +4
53,CNBCCNBC,5/1 - 5/3,1489 LV,2.5,47.0,44.0,Biden +3
54,MonmouthMonmouth,4/30 - 5/4,739 RV,3.6,50.0,41.0,Biden +9
55,CBS News/YouGovCBS News,4/28 - 5/1,1671 LV,2.5,49.0,43.0,Biden +6
56,IBD/TIPPIBD/TIPP,4/26 - 4/29,948 RV,3.3,43.0,43.0,Tie
57,EmersonEmerson,4/26 - 4/28,1200 RV,2.8,48.0,42.0,Biden +6
58,Economist/YouGovYouGov,4/26 - 4/28,1222 RV,3.2,47.0,41.0,Biden +6
59,USA Today/SuffolkUSA Today,4/21 - 4/25,1000 RV,3.0,50.0,40.0,Biden +10
60,Economist/YouGovYouGov,4/19 - 4/21,1144 RV,3.4,48.0,42.0,Biden +6
61,The Hill/HarrisXThe Hill,4/19 - 4/20,958 RV,3.2,42.0,40.0,Biden +2
62,NBC News/Wall St. JrnlNBC/WSJ,4/13 - 4/15,900 RV,3.3,49.0,42.0,Biden +7
63,Harvard-HarrisHarris,4/14 - 4/16,LV,--,53.0,47.0,Biden +6
64,Economist/YouGovYouGov,4/12 - 4/14,1166 RV,3.4,48.0,43.0,Biden +5
65,MonmouthMonmouth,4/3 - 4/7,743 RV,3.6,48.0,44.0,Biden +4
66,FOX NewsFOX News,4/4 - 4/7,1107 RV,3.0,42.0,42.0,Tie
67,Economist/YouGovYouGov,4/5 - 4/7,1147 RV,3.3,48.0,42.0,Biden +6
68,CNBCCNBC,4/3 - 4/6,604 RV,4.0,44.0,39.0,Biden +5
69,CNNCNN,4/3 - 4/6,875 RV,3.9,53.0,42.0,Biden +11
70,QuinnipiacQuinnipiac,4/2 - 4/6,2077 RV,2.2,49.0,41.0,Biden +8
71,IBD/TIPPIBD/TIPP,3/29 - 4/1,980 RV,3.2,47.0,41.0,Biden +6
72,Economist/YouGovYouGov,3/29 - 3/31,1194 RV,3.2,46.0,42.0,Biden +4
73,Grinnell/SelzerSelzer,3/27 - 3/30,777 LV,3.5,47.0,43.0,Biden +4
74,Harvard-HarrisHarris,3/24 - 3/26,2410 RV,2.0,55.0,45.0,Biden +10
75,ABC News/Wash PostABC/WP,3/22 - 3/25,845 RV,3.5,49.0,47.0,Biden +2
76,Economist/YouGovYouGov,3/22 - 3/24,1170 RV,3.4,46.0,42.0,Biden +4
77,FOX NewsFOX News,3/21 - 3/24,1011 RV,3.0,49.0,40.0,Biden +9
78,MonmouthMonmouth,3/18 - 3/22,754 RV,3.6,48.0,45.0,Biden +3
79,EmersonEmerson,3/18 - 3/19,1100 RV,2.9,53.0,47.0,Biden +6
80,Economist/YouGovYouGov,3/15 - 3/17,1129 RV,3.5,48.0,41.0,Biden +7
81,NBC News/Wall St. JrnlNBC/WSJ,3/11 - 3/13,900 RV,3.3,52.0,43.0,Biden +9
82,Economist/YouGovYouGov,3/8 - 3/10,1191 RV,2.9,47.0,43.0,Biden +4
83,CNNCNN,3/4 - 3/7,1084 RV,3.5,53.0,43.0,Biden +10
84,QuinnipiacQuinnipiac,3/5 - 3/8,1261 RV,2.8,52.0,41.0,Biden +11
85,Harvard-HarrisHarris,2/26 - 2/28,2592 RV,--,55.0,45.0,Biden +10
86,IBD/TIPPIBD/TIPP,2/20 - 2/29,839 RV,3.5,49.0,46.0,Biden +3
87,FOX NewsFOX News,2/23 - 2/26,1000 RV,3.0,49.0,41.0,Biden +8
88,CBS News/YouGovCBS News,2/20 - 2/22,10000 RV,1.2,47.0,45.0,Biden +2
89,ABC News/Wash PostABC/WP,2/14 - 2/17,913 RV,4.0,52.0,45.0,Biden +7
90,EmersonEmerson,2/16 - 2/18,1250 RV,2.7,48.0,52.0,Trump +4
91,NBC News/Wall St. JrnlNBC/WSJ,2/14 - 2/17,900 RV,3.3,52.0,44.0,Biden +8
92,NPR/PBS/MaristNPR/PBS,2/13 - 2/16,1164 RV,3.7,50.0,44.0,Biden +6
93,QuinnipiacQuinnipiac,2/5 - 2/9,1519 RV,2.5,50.0,43.0,Biden +7
94,NBC News/Wall St. JrnlNBC/WSJ,1/26 - 1/29,1000 RV,3.1,50.0,44.0,Biden +6
95,IBD/TIPPIBD/TIPP,1/23 - 1/30,856 RV,3.3,49.0,48.0,Biden +1
96,EmersonEmerson,1/21 - 1/23,1128 RV,2.8,50.0,50.0,Tie
97,ABC News/Wash PostABC/WP,1/20 - 1/23,880 RV,4.0,50.0,46.0,Biden +4
98,LA Times/USCLA Times,1/15 - 1/28,4869 RV,2.0,49.0,40.0,Biden +9
99,FOX NewsFOX News,1/19 - 1/22,1005 RV,3.0,50.0,41.0,Biden +9
100,CNNCNN,1/16 - 1/19,1051 RV,3.6,53.0,44.0,Biden +9
101,IBD/TIPPIBD/TIPP,1/3 - 1/11,846 RV,3.3,48.0,46.0,Biden +2
102,EmersonEmerson,12/15 - 12/17,1222 RV,2.7,52.0,48.0,Biden +4
103,CNNCNN,12/12 - 12/15,888 RV,4.0,49.0,44.0,Biden +5
104,USA Today/SuffolkUSA Today,12/10 - 12/14,1000 RV,3.0,41.0,44.0,Trump +3
105,IBD/TIPPIBD/TIPP,12/5 - 12/14,849 RV,3.5,50.0,45.0,Biden +5
106,FOX NewsFOX News,12/8 - 12/11,1000 RV,3.0,48.0,41.0,Biden +7
107,QuinnipiacQuinnipiac,12/4 - 12/9,1553 RV,2.5,51.0,42.0,Biden +9
108,SurveyUSASUSA,11/20 - 11/21,3850 RV,1.7,52.0,39.0,Biden +13
109,EmersonEmerson,11/17 - 11/20,1092 RV,2.9,49.0,51.0,Trump +2
110,NBC News/Wall St. JrnlNBC/WSJ,10/27 - 10/30,720 RV,3.7,50.0,41.0,Biden +9
111,ABC News/Wash PostABC/WP,10/27 - 10/30,876 RV,4.0,56.0,39.0,Biden +17
112,FOX NewsFOX News,10/27 - 10/30,1040 RV,3.0,51.0,39.0,Biden +12
113,IBD/TIPPIBD/TIPP,10/24 - 10/31,863 RV,3.5,53.0,43.0,Biden +10
114,EmersonEmerson,10/18 - 10/21,1000 RV,3.0,51.0,49.0,Biden +2
115,CNNCNN,10/17 - 10/20,892 RV,4.0,53.0,43.0,Biden +10
116,SurveyUSASUSA,10/15 - 10/16,3080 RV,2.1,52.0,41.0,Biden +11
117,FOX NewsFOX News,10/6 - 10/8,1003 RV,3.0,50.0,40.0,Biden +10
118,QuinnipiacQuinnipiac,10/4 - 10/7,1483 RV,3.1,51.0,40.0,Biden +11
119,IBD/TIPPIBD/TIPP,9/26 - 10/3,863 RV,3.5,51.0,44.0,Biden +7
120,Rasmussen ReportsRasmussen,9/23 - 9/24,1000 LV,3.0,43.0,47.0,Trump +4
121,EmersonEmerson,9/21 - 9/23,1019 RV,3.0,50.0,49.0,Biden +1
122,FOX NewsFOX News,9/15 - 9/17,1008 RV,3.0,52.0,38.0,Biden +14
123,SurveyUSASUSA,9/13 - 9/16,4520 RV,1.6,49.0,41.0,Biden +8
124,ABC News/Wash PostABC/WP,9/2 - 9/5,877 RV,4.0,55.0,40.0,Biden +15
125,IBD/TIPPIBD/TIPP,8/22 - 8/30,848 RV,3.5,54.0,42.0,Biden +12
126,EmersonEmerson,8/24 - 8/26,1458 RV,2.5,54.0,46.0,Biden +8
127,QuinnipiacQuinnipiac,8/21 - 8/26,1422 RV,4.6,54.0,38.0,Biden +16
128,FOX NewsFOX News,8/11 - 8/13,1013 RV,3.0,50.0,38.0,Biden +12
129,SurveyUSASUSA,8/1 - 8/5,5459 RV,1.6,50.0,42.0,Biden +8
130,IBD/TIPPIBD/TIPP,7/25 - 8/1,856 RV,3.5,54.0,41.0,Biden +13
131,EmersonEmerson,7/27 - 7/29,1233 RV,2.7,51.0,49.0,Biden +2
132,FOX NewsFOX News,7/21 - 7/23,1004 RV,3.0,49.0,39.0,Biden +10
133,NBC News/Wall St. JrnlNBC/WSJ,7/7 - 7/9,800 RV,3.5,51.0,42.0,Biden +9
134,EmersonEmerson,7/6 - 7/8,1100 RV,2.9,53.0,47.0,Biden +6
135,ABC News/Wash PostABC/WP,6/28 - 7/1,875 RV,4.0,53.0,43.0,Biden +10
136,Rasmussen ReportsRasmussen,6/23 - 7/2,4500 LV,1.5,48.0,44.0,Biden +4
137,EmersonEmerson,6/21 - 6/24,1096 RV,2.9,55.0,45.0,Biden +10
138,FOX NewsFOX News,6/9 - 6/12,1001 RV,3.0,49.0,39.0,Biden +10
139,QuinnipiacQuinnipiac,6/6 - 6/10,1214 RV,3.5,53.0,40.0,Biden +13
140,FOX NewsFOX News,5/11 - 5/14,1001 RV,3.0,49.0,38.0,Biden +11
141,EmersonEmerson,5/10 - 5/13,1006 RV,3.0,54.0,46.0,Biden +8
142,CNNCNN,4/25 - 4/29,470 RV,5.5,51.0,45.0,Biden +6
143,The Hill/HarrisXThe Hill,4/25 - 4/26,1000 RV,3.1,43.0,37.0,Biden +6
144,Politico/Morning ConsultPolitico,4/19 - 4/21,1992 RV,2.0,42.0,34.0,Biden +8
145,EmersonEmerson,4/11 - 4/14,914 RV,3.2,53.0,47.0,Biden +6
146,PPP (D)PPP (D),3/27 - 3/28,846 RV,3.4,53.0,40.0,Biden +13
147,Rasmussen ReportsRasmussen,3/17 - 3/21,5000 LV,1.5,49.0,44.0,Biden +5
148,FOX NewsFOX News,3/17 - 3/20,1002 RV,3.0,47.0,40.0,Biden +7
149,EmersonEmerson,3/17 - 3/18,1153 RV,2.8,55.0,45.0,Biden +10
150,EmersonEmerson,2/14 - 2/16,1000 RV,3.3,55.0,45.0,Biden +10
151,PPP (D)PPP (D),1/19 - 1/21,760 RV,3.6,53.0,41.0,Biden +12
152,PPP (D)PPP (D),6/8 - 6/10,679 RV,3.8,53.0,39.0,Biden +14
153,PPP (D)PPP (D),3/23 - 3/25,846 RV,3.4,56.0,39.0,Biden +17
154,PPP (D)PPP (D),2/9 - 2/11,687 RV,3.7,51.0,42.0,Biden +9
155,CNNCNN,1/14 - 1/18,918 RV,3.8,57.0,40.0,Biden +17
156,PPP (D)PPP (D),12/11 - 12/12,862 RV,3.3,54.0,40.0,Biden +14
157,PPP (D)PPP (D),10/27 - 10/29,572 RV,4.1,56.0,38.0,Biden +18
158,EmersonEmerson,10/12 - 10/14,820 RV,3.4,51.0,42.0,Biden +9
159,PPP (D)PPP (D),9/22 - 9/25,865 RV,3.3,53.0,40.0,Biden +13
160,PPP (D)PPP (D),8/18 - 8/21,887 RV,3.3,51.0,39.0,Biden +12
161,PPP (D)PPP (D),7/14 - 7/17,836 RV,3.4,54.0,39.0,Biden +15
162,PPP (D)PPP (D),6/9 - 6/11,811 RV,3.4,54.0,41.0,Biden +13
163,PPP (D)PPP (D),5/12 - 5/14,692 RV,3.7,54.0,40.0,Biden +14
164,PPP (D)PPP (D),4/17 - 4/18,648 RV,3.9,54.0,40.0,Biden +14
165,PPP (D)PPP (D),3/27 - 3/28,677 RV,3.8,54.0,40.0,Biden +14
